animal	sexo	controle	idade	peso
80	2	3	7	106
80	2	4	14	205
80	2	5	21	262
80	2	6	28	296
80	2	7	35	381
80	2	8	42	720
80	2	9	49	827
80	2	10	56	1055
80	2	11	63	1240
80	2	12	70	1380
80	2	13	77	1560
80	2	14	84	1144
80	2	15	90	1650
81	2	1	0	44
81	2	2	1	50
81	2	3	7	94
81	2	4	14	197
81	2	5	21	258
81	2	6	28	309
81	2	7	35	412
81	2	8	42	652
81	2	9	49	903
81	2	10	56	1090
81	2	11	63	1040
81	2	12	70	1360
81	2	13	77	1530
81	2	14	84	1520
81	2	15	90	1650
82	1	1	0	36
82	1	2	1	45
82	1	3	7	105
82	1	4	14	222
82	1	5	21	264
82	1	6	28	325
82	1	7	35	403
82	1	8	42	740
82	1	9	49	968
82	1	10	56	1290
82	1	11	63	1620
82	1	12	70	2080
82	1	13	77	2345
82	1	14	84	2403
82	1	15	90	2640
83	1	1	0	48
83	1	2	1	58
83	1	3	7	126
83	1	4	14	271
83	1	5	21	360
83	1	6	28	451
83	1	7	35	689
83	1	8	42	1160
83	1	9	49	1447
83	1	10	56	1730
83	1	11	63	1900
83	1	12	70	2200
83	1	13	77	2515
83	1	14	84	2563
83	1	15	90	2680
84	1	1	0	42
84	1	2	1	50
84	1	3	7	104
84	1	4	14	227
84	1	5	21	266
84	1	6	28	321
84	1	7	35	434
84	1	8	42	900
84	1	9	49	1242
84	1	10	56	1595
84	1	11	63	1940
84	1	12	70	2280
84	1	13	77	2625
84	1	14	84	2628
84	1	15	90	2890
86	2	1	0	36
86	2	2	1	46
86	2	3	7	118
86	2	4	14	190
86	2	5	21	253
86	2	6	28	303
86	2	7	35	426
86	2	8	42	780
86	2	9	49	1020
86	2	10	56	1125
86	2	11	63	1280
86	2	12	70	1460
86	2	13	77	1525
86	2	14	84	1474
86	2	15	90	1645
87	2	1	0	29
87	2	2	1	39
87	2	3	7	107
87	2	4	14	175
87	2	5	21	216
87	2	6	28	242
87	2	7	35	338
87	2	8	42	680
87	2	9	49	792
87	2	10	56	965
87	2	11	63	1080
87	2	12	70	1220
87	2	13	77	1435
87	2	14	84	1569
87	2	15	90	1540
88	2	1	0	48
88	2	2	1	58
88	2	3	7	126
88	2	4	14	248
88	2	5	21	320
88	2	6	28	365
88	2	7	35	487
88	2	8	42	840
88	2	9	49	1024
88	2	10	56	1175
88	2	11	63	1280
88	2	12	70	1420
88	2	13	77	1540
88	2	14	84	1529
88	2	15	90	1665
89	1	1	0	41
89	1	2	1	47
89	1	3	7	87
89	1	4	14	187
89	1	5	21	246
89	1	6	28	279
89	1	7	35	364
89	1	8	42	780
89	1	9	49	1000
89	1	10	56	1265
89	1	11	63	1420
89	1	12	70	1840
89	1	13	77	2080
89	1	14	84	2141
89	1	15	90	2475
90	2	1	0	47
90	2	2	1	53
90	2	3	7	98
90	2	4	14	200
90	2	5	21	259
90	2	6	28	312
90	2	7	35	425
90	2	8	42	780
90	2	9	49	888
90	2	10	56	1070
90	2	11	63	1260
90	2	12	70	1400
90	2	13	77	1455
90	2	14	84	1455
90	2	15	90	1525
91	2	1	0	42
91	2	2	1	50
91	2	3	7	107
91	2	4	14	216
91	2	5	21	261
91	2	6	28	318
91	2	7	35	438
91	2	8	42	820
91	2	9	49	906
91	2	10	56	1080
91	2	11	63	1320
91	2	12	70	1400
91	2	13	77	1495
91	2	14	84	1455
91	2	15	90	1535
92	1	1	0	39
92	1	2	1	46
92	1	3	7	97
92	1	4	14	222
92	1	5	21	278
92	1	6	28	291
92	1	7	35	354
92	1	8	42	720
92	1	9	49	1000
92	1	10	56	1335
92	1	11	63	1580
92	1	12	70	1920
92	1	13	77	2335
92	1	14	84	2415
92	1	15	90	2805
93	2	1	0	40
93	2	2	1	48
93	2	3	7	101
93	2	4	14	206
93	2	5	21	273
93	2	6	28	317
93	2	7	35	412
93	2	8	42	720
93	2	9	49	859
93	2	10	56	1020
93	2	11	63	1100
93	2	12	70	1360
93	2	13	77	1545
93	2	14	84	1540
93	2	15	90	1705
94	1	1	0	48
94	1	2	1	54
94	1	3	7	97
94	1	4	14	202
94	1	5	21	260
94	1	6	28	317
94	1	7	35	451
94	1	8	42	820
94	1	9	49	1050
94	1	10	56	1325
94	1	11	63	1620
94	1	12	70	1920
94	1	13	77	2140
94	1	14	84	2215
94	1	15	90	2450
95	1	1	0	35
95	1	2	1	43
95	1	3	7	99
95	1	4	14	233
95	1	5	21	328
95	1	6	28	379
95	1	7	35	499
95	1	8	42	980
95	1	9	49	1255
95	1	10	56	1610
95	1	11	63	2020
95	1	12	70	2360
95	1	13	77	2720
95	1	14	84	2659
95	1	15	90	2955
96	1	1	0	45
96	1	2	1	52
96	1	3	7	101
96	1	4	14	218
96	1	5	21	324
96	1	6	28	394
96	1	7	35	494
96	1	8	42	1000
96	1	9	49	1302
96	1	10	56	1600
96	1	11	63	1920
96	1	12	70	2240
96	1	13	77	2530
96	1	14	84	2360
96	1	15	90	2825
97	2	1	0	40
97	2	2	1	48
97	2	3	7	101
97	2	4	14	214
97	2	5	21	278
97	2	6	28	335
97	2	7	35	430
97	2	8	42	780
97	2	9	49	911
97	2	10	56	1075
97	2	11	63	1320
97	2	12	70	1360
97	2	13	77	1480
97	2	14	84	1405
97	2	15	90	1595
98	1	1	0	41
98	1	2	1	49
98	1	3	7	104
98	1	4	14	215
98	1	5	21	273
98	1	6	28	302
98	1	7	35	366
98	1	8	42	560
98	1	9	49	885
98	1	10	56	1146
