pecan	trat	rep	unE	ph	turb1	turb
1	3	3	331	5.75	0.6	0.6
1	4	3	341	5.87	0.7	0.7
1	5	3	351	5.06	0.1	0.1
1	1	3	311	4.67	0.2	0.2
1	2	3	321	5.26	1.2	1.2
1	3	3	331	5.7	0.6	0.6
1	4	3	341	5.9	0.6	0.6
1	1	3	311	4.71	0	1.0E-07
1	2	3	321	5.64	1.3	1.3
1	3	3	331	5.62	0.8	0.8
1	4	3	341	5.77	0.7	0.7
1	1	3	311	4.55	0	1.0E-07
1	2	3	321	4.95	1.4	1.4
1	3	3	331	5.63	0.6	0.6
1	4	3	341	5.73	0.6	0.6
1	1	3	311	4.42	0.1	0.1
1	2	3	321	4.37	1.7	1.7
1	3	3	331	5.72	1	1
1	4	3	341	5.57	2.4	2.4
1	1	3	311	4.44	0.2	0.2
1	2	3	321	5.24	1.9	1.9
1	3	3	331	5.41	1.1	1.1
1	4	3	341	5.75	3.4	3.4
1	1	3	311	4.76	0.1	0.1
1	2	3	321	5.7	3.4	3.4
1	3	3	331	5.93	1.1	1.1
1	4	3	341	5.92	1.1	1.1
1	1	3	311	4.78	0.2	0.2
1	2	3	321	5.78	2.6	2.6
1	3	3	331	5.63	1	1
1	4	3	341	5.76	2	2
1	1	3	311	4.6	0.2	0.2
1	2	3	321	5.56	2.2	2.2
1	3	3	331	5.63	1.3	1.3
1	4	3	341	5.93	1.3	1.3
1	1	3	311	4.78	0.1	0.1
1	2	3	321	5.35	2.1	2.1
1	3	3	331	5.89	1.3	1.3
1	4	3	341	5.69	1.8	1.8
1	1	3	311	4.63	0.1	0.1
1	2	3	321	5.36	1.8	1.8
1	3	3	331	5.59	1.2	1.2
1	4	3	341	5.81	1.5	1.5
1	1	3	311	4.65	0.1	0.1
1	2	3	321	5.3	1.6	1.6
1	3	3	331	5.41	1.3	1.3
1	4	3	341	5.78	1.2	1.2
2	1	1	112	4.9	0.1	0.1
2	2	1	122	6.29	0.2	0.2
2	3	1	132	6.33	0.3	0.3
2	4	1	142	6.35	0.4	0.4
2	5	1	152	7.53	0	1.0E-07
2	1	1	112	5.2	0.3	0.3
2	2	1	122	6.32	0.2	0.2
2	3	1	132	6.63	0.3	0.3
2	4	1	142	6.17	1	1
2	5	1	152	6.19	0	1.0E-07
2	1	1	112	4.88	0.4	0.4
2	2	1	122	6.29	0.3	0.3
2	3	1	132	6.4	0.9	0.9
2	4	1	142	6.12	0.6	0.6
2	5	1	152	6.54	0.1	0.1
2	1	1	112	4.85	0	1.0E-07
2	2	1	122	6.68	0.2	0.2
2	3	1	132	6.46	0.3	0.3
2	4	1	142	5.92	1.4	1.4
2	5	1	152	4.97	0	1.0E-07
2	1	1	112	5.07	0	1.0E-07
2	2	1	122	6.06	0.4	0.4
2	3	1	132	6.13	0.4	0.4
2	4	1	142	6.01	1.2	1.2
2	5	1	152	4.85	0.1	0.1
2	1	1	112	5.03	0.1	0.1
2	2	1	122	6.09	0.4	0.4
2	3	1	132	6.07	0.7	0.7
2	4	1	142	5.83	1	1
2	1	1	112	4.88	0.1	0.1
2	2	1	122	5.93	0.3	0.3
2	3	1	132	5.98	0.5	0.5
2	4	1	142	5.91	0.4	0.4
2	1	1	112	5.24	0.1	0.1
2	2	1	122	5.95	0.4	0.4
2	3	1	132	6.09	0.4	0.4
2	4	1	142	6.73	0.7	0.7
2	1	1	112	4.51	0.1	0.1
2	2	1	122	5.93	0.4	0.4
2	3	1	132	6.01	0.4	0.4
2	4	1	142	6.3	0.7	0.7
2	1	1	112	4.32	0.1	0.1
2	2	1	122	5.91	0.4	0.4
2	3	1	132	5.98	0.4	0.4
2	4	1	142	6.01	1.2	1.2
2	1	1	112	4.97	0.2	0.2
2	2	1	122	5.94	0.4	0.4
2	3	1	132	6.11	0.6	0.6
2	4	1	142	6.61	1	1
2	1	1	112	4.92	0.1	0.1
2	2	1	122	5.92	0.3	0.3
2	3	1	132	6.05	0.8	0.8
2	4	1	142	5.88	1.4	1.4
2	1	1	112	4.72	0.2	0.2
2	2	1	122	5.97	0.5	0.5
2	3	1	132	6.04	0.9	0.9
2	4	1	142	6.49	1.5	1.5
2	1	1	112	4.91	0.1	0.1
2	2	1	122	5.85	0.3	0.3
2	3	1	132	6.02	1.1	1.1
2	4	1	142	6.42	0.9	0.9
2	1	1	112	4.72	0.1	0.1
2	2	1	122	4.97	0.5	0.5
2	3	1	132	6.02	1.6	1.6
2	4	1	142	6.46	1	1
2	1	1	112	4.69	0.1	0.1
2	2	1	122	5.81	0.5	0.5
2	3	1	132	5.89	0.3	0.3
2	4	1	142	6.43	1	1
2	1	2	212	4.68	0	1.0E-07
2	2	2	222	5.94	0.4	0.4
2	3	2	232	6.28	0.3	0.3
2	4	2	242	6.23	0.9	0.9
2	5	2	252	6.62	0	1.0E-07
2	1	2	212	4.83	0.4	0.4
2	2	2	222	6.14	0.4	0.4
2	3	2	232	6.52	0.3	0.3
2	4	2	242	6.25	0.8	0.8
2	5	2	252	6.06	0	1.0E-07
2	1	2	212	4.7	0.1	0.1
2	2	2	222	6.1	0.4	0.4
2	3	2	232	6.43	0.4	0.4
2	4	2	242	6.14	0.8	0.8
2	5	2	252	6.32	0.1	0.1
2	1	2	212	4.91	0	1.0E-07
2	2	2	222	5.65	0.6	0.6
2	3	2	232	6.35	0.3	0.3
2	4	2	242	6.01	0.9	0.9
2	5	2	252	4.87	0	1.0E-07
2	1	2	212	4.98	0.1	0.1
2	2	2	222	5.98	0.4	0.4
2	3	2	232	6.19	0.3	0.3
2	4	2	242	6.1	1.1	1.1
2	5	2	252	4.49	0.1	0.1
2	1	2	212	5	0.1	0.1
2	2	2	222	5.77	0.4	0.4
2	3	2	232	6.12	0.5	0.5
2	4	2	242	5.79	1.1	1.1
2	1	2	212	4.85	0	1.0E-07
2	2	2	222	5.74	0.4	0.4
2	3	2	232	5.99	0.4	0.4
2	4	2	242	5.97	0.5	0.5
2	1	2	212	4.64	0.1	0.1
2	2	2	222	5.27	0.5	0.5
2	3	2	232	6.08	0.4	0.4
2	4	2	242	5.85	0.8	0.8
2	1	2	212	3.7	0	1.0E-07
2	2	2	222	5.45	0.8	0.8
2	3	2	232	5.92	0.6	0.6
2	4	2	242	5.93	0.9	0.9
2	1	2	212	4.09	0	1.0E-07
2	2	2	222	5.61	0.6	0.6
2	3	2	232	6.02	0.8	0.8
2	4	2	242	5.84	1.6	1.6
2	1	2	212	4.8	0.1	0.1
2	2	2	222	5.96	0.7	0.7
2	3	2	232	6.02	0.7	0.7
2	4	2	242	6.14	1.8	1.8
2	1	2	212	4.89	0.1	0.1
2	2	2	222	6.03	0.5	0.5
2	3	2	232	6.05	0.9	0.9
2	4	2	242	5.94	1.3	1.3
2	1	2	212	4.65	0.1	0.1
2	2	2	222	5.84	0.8	0.8
2	3	2	232	6.07	0.5	0.5
2	4	2	242	6.02	1.2	1.2
2	1	2	212	4.79	0.2	0.2
2	2	2	222	5.69	0.7	0.7
2	3	2	232	5.99	0.6	0.6
2	4	2	242	6.39	0.8	0.8
2	1	2	212	4.7	0.1	0.1
2	2	2	222	5.64	0.6	0.6
2	3	2	232	5.89	0.7	0.7
2	4	2	242	6.16	1.2	1.2
2	1	2	212	4.75	0.1	0.1
2	2	2	222	5.6	0.6	0.6
2	3	2	232	5.89	0.5	0.5
2	4	2	242	6.14	1	1
2	1	3	312	4.64	0	1.0E-07
2	2	3	322	6.12	0.3	0.3
2	3	3	332	6.3	0.3	0.3
2	4	3	342	6.23	0.9	0.9
2	5	3	352	6.4	0	1.0E-07
2	1	3	312	4.65	0.5	0.5
2	2	3	322	6.23	0.4	0.4
2	3	3	332	6.36	0.4	0.4
2	4	3	342	7.01	0.9	0.9
2	5	3	352	5.97	0	1.0E-07
2	1	3	312	4.64	0.2	0.2
2	2	3	322	6.28	0.2	0.2
2	3	3	332	6.45	0.4	0.4
2	4	3	342	7.02	0.8	0.8
2	5	3	352	6.23	0.1	0.1
2	1	3	312	4.89	0.1	0.1
2	2	3	322	5.78	0.3	0.3
2	3	3	332	6.36	0.3	0.3
2	4	3	342	6.18	1.5	1.5
2	5	3	352	4.98	0	1.0E-07
2	1	3	312	4.99	0.1	0.1
2	2	3	322	6.05	0.5	0.5
2	3	3	332	6.14	0.6	0.6
